"Date","State","Sector","Mode","Installed Capacity"
"20-07-2019","Chhatisgarh","PVT SECTOR","RES","524.3"
"20-07-2019","Chhatisgarh","CENTRAL SECTOR","Thermal","6880"
"20-07-2019","Chhatisgarh","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Chhatisgarh","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Chhatisgarh","CENTRAL SECTOR","RES","0"
"20-07-2019","Dadra & Nagar Haveli","STATE SECTOR","Thermal","0"
"20-07-2019","Dadra & Nagar Haveli","STATE SECTOR","Nuclear","0"
"20-07-2019","Dadra & Nagar Haveli","STATE SECTOR","Hydro","0"
"20-07-2019","Dadra & Nagar Haveli","STATE SECTOR","RES","0"
"20-07-2019","Dadra & Nagar Haveli","PVT SECTOR","Thermal","0"
"20-07-2019","Dadra & Nagar Haveli","PVT SECTOR","Nuclear","0"
"20-07-2019","Dadra & Nagar Haveli","PVT SECTOR","Hydro","0"
"20-07-2019","Dadra & Nagar Haveli","PVT SECTOR","RES","5.46"
"20-07-2019","Dadra & Nagar Haveli","CENTRAL SECTOR","Thermal","0"
"20-07-2019","Dadra & Nagar Haveli","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Dadra & Nagar Haveli","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Dadra & Nagar Haveli","CENTRAL SECTOR","RES","0"
"20-07-2019","Daman & Diu","STATE SECTOR","Thermal","0"
"20-07-2019","Daman & Diu","STATE SECTOR","Nuclear","0"
"20-07-2019","Daman & Diu","STATE SECTOR","Hydro","0"
"20-07-2019","Daman & Diu","STATE SECTOR","RES","0"
"20-07-2019","Daman & Diu","PVT SECTOR","Thermal","0"
"20-07-2019","Daman & Diu","PVT SECTOR","Nuclear","0"
"20-07-2019","Daman & Diu","PVT SECTOR","Hydro","0"
"20-07-2019","Daman & Diu","PVT SECTOR","RES","15.45"
"20-07-2019","Daman & Diu","CENTRAL SECTOR","Thermal","0"
"20-07-2019","Daman & Diu","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Daman & Diu","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Daman & Diu","CENTRAL SECTOR","RES","0"
"20-07-2019","Delhi","STATE SECTOR","Thermal","2235.4"
"20-07-2019","Delhi","STATE SECTOR","Nuclear","0"
"20-07-2019","Delhi","STATE SECTOR","Hydro","0"
"20-07-2019","Delhi","STATE SECTOR","RES","0"
"20-07-2019","Delhi","PVT SECTOR","Thermal","108"
"20-07-2019","Delhi","PVT SECTOR","Nuclear","0"
"20-07-2019","Delhi","PVT SECTOR","Hydro","0"
"20-07-2019","Delhi","PVT SECTOR","RES","184.15"
"20-07-2019","Goa","STATE SECTOR","Thermal","0"
"20-07-2019","Goa","STATE SECTOR","Nuclear","0"
"20-07-2019","Goa","STATE SECTOR","Hydro","0"
"20-07-2019","Goa","STATE SECTOR","RES","0.05"
"20-07-2019","Goa","PVT SECTOR","Thermal","48"
"20-07-2019","Goa","PVT SECTOR","Nuclear","0"
"20-07-2019","Goa","PVT SECTOR","Hydro","0"
"20-07-2019","Goa","PVT SECTOR","RES","4.78"
"20-07-2019","Goa","CENTRAL SECTOR","Thermal","0"
"20-07-2019","Goa","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Goa","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Goa","CENTRAL SECTOR","RES","0"
"20-07-2019","Gujarat","STATE SECTOR","Thermal","6927.82"
"20-07-2019","Gujarat","STATE SECTOR","Nuclear","0"
"20-07-2019","Gujarat","STATE SECTOR","Hydro","1990"
"20-07-2019","Gujarat","STATE SECTOR","RES","65.752"
"20-07-2019","Gujarat","PVT SECTOR","Thermal","14802"
"20-07-2019","Gujarat","PVT SECTOR","Nuclear","0"
"20-07-2019","Gujarat","PVT SECTOR","Hydro","0"
"20-07-2019","Gujarat","PVT SECTOR","RES","9003.88"
"20-07-2019","Gujarat","CENTRAL SECTOR","Thermal","1313.59"
"20-07-2019","Gujarat","CENTRAL SECTOR","Nuclear","440"
"20-07-2019","Gujarat","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Gujarat","CENTRAL SECTOR","RES","243.3"
"20-07-2019","Haryana","STATE SECTOR","Thermal","2720"
"20-07-2019","Haryana","STATE SECTOR","Nuclear","0"
"20-07-2019","Haryana","STATE SECTOR","Hydro","0"
"20-07-2019","Haryana","STATE SECTOR","RES","69.3"
"20-07-2019","Haryana","PVT SECTOR","Thermal","1320"
"20-07-2019","Haryana","PVT SECTOR","Nuclear","0"
"20-07-2019","Haryana","PVT SECTOR","Hydro","0"
"20-07-2019","Haryana","PVT SECTOR","RES","360.87"
"20-07-2019","Haryana","CENTRAL SECTOR","Thermal","1931.59"
"20-07-2019","Haryana","CENTRAL SECTOR","Nuclear","0"
"20-07-2019","Haryana","CENTRAL SECTOR","Hydro","0"
"20-07-2019","Haryana","CENTRAL SECTOR","RES","5"
"20-07-2019","Himachal Pradesh","STATE SECTOR","Thermal","0"
"20-07-2019","Himachal Pradesh","STATE SECTOR","Nuclear","0"
"20-07-2019","Himachal Pradesh","STATE SECTOR","Hydro","3542"
"20-07-2019","Himachal Pradesh","STATE SECTOR","RES","256.61"
"20-07-2019","Himachal Pradesh","PVT SECTOR","Thermal","0"
"20-07-2019","Himachal Pradesh","PVT SECTOR","Nuclear","0"
"20-07-2019","Himachal Pradesh","PVT SECTOR","Hydro","1784"
"20-07-2019","Himachal Pradesh","PVT SECTOR","RES","639.03"
"20-07-2019","Himachal Pradesh","CENTRAL SECTOR","Thermal","0"
